%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
929.5,35.72,4.657,1.072,0.4,1.99,4.425,4.89,1.018,1.126,2.057,2.303,0.653
930,35.72,4.701,1.073,0.4,1.99,4.466,4.936,1.019,1.126,2.069,2.304,0.65
930.5,35.76,4.512,1.07,0.4,1.99,4.286,4.737,1.016,1.123,2.018,2.302,0.664
931,35.76,4.326,1.067,0.4,1.99,4.11,4.542,1.013,1.12,1.968,2.3,0.678
931.5,35.81,5.11,1.079,0.4,1.99,4.855,5.366,1.025,1.132,2.175,2.307,0.62
932,35.81,5.966,1.088,0.4,1.99,5.668,6.265,1.034,1.143,2.387,2.313,0.56
932.5,35.85,5.738,1.086,0.4,1.99,5.452,6.025,1.032,1.14,2.332,2.312,0.576
933,35.85,5.306,1.081,0.4,1.99,5.04,5.571,1.027,1.135,2.225,2.309,0.606
933.5,35.91,4.886,1.075,0.4,1.99,4.641,5.13,1.022,1.129,2.117,2.305,0.636
934,35.91,4.566,1.071,0.4,1.99,4.337,4.794,1.017,1.124,2.033,2.302,0.66
934.5,35.97,4.482,1.069,0.4,1.99,4.258,4.707,1.016,1.123,2.011,2.302,0.666
935,35.97,5.26,1.08,0.4,1.99,4.997,5.523,1.026,1.134,2.213,2.308,0.609
935.5,36.01,5.79,1.087,0.4,1.99,5.5,6.079,1.032,1.141,2.344,2.312,0.572
936,36.01,5.41,1.082,0.4,1.99,5.14,5.681,1.028,1.136,2.251,2.309,0.599
936.5,36.06,5.04,1.078,0.4,1.99,4.788,5.292,1.024,1.131,2.157,2.307,0.625
937,36.06,4.98,1.077,0.4,1.99,4.731,5.229,1.023,1.131,2.142,2.306,0.629
937.5,36.09,4.965,1.077,0.4,1.99,4.717,5.213,1.023,1.13,2.138,2.306,0.631
938,36.09,4.226,1.065,0.4,1.99,4.015,4.437,1.012,1.118,1.941,2.299,0.686
938.5,36.14,3.731,1.055,0.4,1.99,3.545,3.918,1.003,1.108,1.801,2.293,0.726
939,36.14,3.365,1.047,0.4,1.99,3.196,3.533,0.994,1.099,1.693,2.288,0.756
939.5,36.17,3.293,1.045,0.4,1.99,3.129,3.458,0.993,1.097,1.671,2.287,0.762
940,36.17,3.594,1.052,0.4,1.99,3.414,3.774,1,1.105,1.761,2.291,0.737
940.5,36.21,3.14,1.041,0.4,1.99,2.983,3.298,0.989,1.093,1.624,2.284,0.776
941,36.21,2.712,1.027,0.4,1.99,2.576,2.847,0.976,1.079,1.487,2.276,0.814
941.5,36.26,2.543,1.021,0.4,1.99,2.416,2.67,0.97,1.072,1.431,2.273,0.83
942,36.26,2.582,1.023,0.4,1.99,2.453,2.711,0.971,1.074,1.444,2.274,0.827
942.5,36.29,2.621,1.024,0.4,1.99,2.49,2.752,0.973,1.075,1.457,2.274,0.823
943,36.29,2.979,1.036,0.4,1.99,2.83,3.128,0.984,1.088,1.574,2.282,0.79
943.5,36.33,3.359,1.047,0.4,1.99,3.191,3.527,0.994,1.099,1.691,2.288,0.757
944,36.33,3.355,1.047,0.4,1.99,3.187,3.523,0.994,1.099,1.69,2.288,0.757
944.5,36.36,2.95,1.035,0.4,1.99,2.802,3.097,0.983,1.087,1.564,2.281,0.793
945,36.36,2.363,1.014,0.4,1.99,2.244,2.481,0.963,1.064,1.369,2.268,0.848
945.5,36.39,1.911,0.99,0.4,1.99,1.815,2.006,0.941,1.04,1.205,2.254,0.894
946,36.39,1.899,0.99,0.4,1.99,1.804,1.994,0.94,1.039,1.201,2.254,0.895
946.5,36.42,1.962,0.993,0.4,1.99,1.864,2.06,0.944,1.043,1.225,2.256,0.889
947,36.42,2.081,1,0.4,1.99,1.977,2.185,0.95,1.05,1.269,2.26,0.876
947.5,36.44,2.202,1.006,0.4,1.99,2.092,2.312,0.956,1.056,1.313,2.264,0.864
948,36.44,1.792,0.983,0.4,1.99,1.702,1.882,0.934,1.032,1.16,2.25,0.907
948.5,36.48,1.533,0.963,0.4,1.99,1.457,1.61,0.915,1.011,1.056,2.238,0.936
949,36.48,1.408,0.952,0.4,1.99,1.338,1.479,0.904,0.999,1.004,2.231,0.951
949.5,36.51,1.392,0.95,0.4,1.99,1.323,1.462,0.903,0.998,0.997,2.23,0.953
950,36.51,1.452,0.956,0.4,1.99,1.38,1.525,0.908,1.004,1.023,2.234,0.946
950.5,36.54,1.514,0.962,0.4,1.99,1.439,1.59,0.914,1.01,1.048,2.237,0.938
951,36.54,1.63,0.971,0.4,1.99,1.549,1.712,0.923,1.02,1.096,2.243,0.925
951.5,36.58,2.038,0.998,0.4,1.99,1.936,2.14,0.948,1.048,1.253,2.259,0.881
952,36.58,2.519,1.02,0.4,1.99,2.393,2.645,0.969,1.071,1.423,2.272,0.833
952.5,36.62,3.116,1.04,0.4,1.99,2.96,3.272,0.988,1.092,1.616,2.284,0.778
953,36.62,3.282,1.045,0.4,1.99,3.118,3.447,0.992,1.097,1.668,2.287,0.763
953.5,36.66,2.916,1.034,0.4,1.99,2.77,3.062,0.982,1.086,1.554,2.28,0.796
954,36.66,2.644,1.025,0.4,1.99,2.512,2.777,0.974,1.076,1.465,2.275,0.821
954.5,36.71,2.538,1.021,0.4,1.99,2.411,2.665,0.97,1.072,1.429,2.273,0.831
955,36.71,2.468,1.018,0.4,1.99,2.345,2.591,0.967,1.069,1.405,2.271,0.838
955.5,36.75,3.514,1.05,0.4,1.99,3.338,3.69,0.998,1.103,1.737,2.29,0.744
956,36.75,4.322,1.067,0.4,1.99,4.106,4.538,1.013,1.12,1.967,2.3,0.679
956.5,36.79,4.074,1.062,0.4,1.99,3.87,4.278,1.009,1.115,1.899,2.297,0.698
957,36.79,3.831,1.057,0.4,1.99,3.639,4.023,1.005,1.11,1.83,2.294,0.718
957.5,36.83,3.594,1.052,0.4,1.99,3.414,3.774,1,1.105,1.761,2.291,0.737
958,36.83,3.861,1.058,0.4,1.99,3.668,4.054,1.005,1.111,1.838,2.295,0.715
958.5,36.88,4.267,1.066,0.4,1.99,4.053,4.48,1.012,1.119,1.952,2.299,0.683
959,36.88,2.432,2.051,0.12,2.452,2.311,2.554,1.949,2.154,2.058,2.303,0.653
959.5,36.92,2.574,2.055,0.12,2.452,2.445,2.702,1.953,2.158,2.163,2.307,0.624
960,36.92,2.669,2.058,0.12,2.452,2.535,2.802,1.955,2.161,2.233,2.309,0.604
960.5,36.96,2.401,2.051,0.12,2.452,2.28,2.521,1.948,2.153,2.034,2.302,0.66
961,36.96,2.136,2.042,0.12,2.452,2.03,2.243,1.94,2.144,1.836,2.295,0.716
961.5,36.99,1.876,2.031,0.12,2.452,1.782,1.97,1.929,2.132,1.637,2.285,0.772
962,36.99,1.62,2.017,0.12,2.452,1.539,1.701,1.916,2.118,1.439,2.273,0.828
962.5,37.03,1.639,2.018,0.12,2.452,1.557,1.721,1.917,2.119,1.454,2.274,0.824
963,37.03,1.54,2.012,0.12,2.452,1.463,1.617,1.912,2.113,1.376,2.269,0.846
963.5,37.05,1.441,2.005,0.12,2.452,1.369,1.513,1.905,2.105,1.299,2.263,0.868
964,37.05,1.344,1.997,0.12,2.452,1.277,1.411,1.897,2.097,1.221,2.256,0.89
964.5,37.08,1.247,1.989,0.12,2.452,1.185,1.309,1.889,2.088,1.143,2.248,0.912
965,37.08,1.151,1.978,0.12,2.452,1.094,1.209,1.88,2.077,1.065,2.239,0.934
965.5,37.1,1.217,1.969,0.12,2.452,1.156,1.277,1.871,2.067,1.119,2.231,0.952
966,37.1,1.217,1.969,0.12,2.452,1.156,1.277,1.87,2.067,1.119,2.231,0.952
966.5,37.12,1.116,1.974,0.12,2.452,1.061,1.172,1.876,2.073,1.037,2.236,0.942
967,37.12,1.258,1.99,0.12,2.452,1.195,1.321,1.89,2.089,1.152,2.249,0.909
967.5,37.15,1.403,2.002,0.12,2.452,1.333,1.473,1.902,2.102,1.268,2.26,0.876
968,37.15,1.549,2.013,0.12,2.452,1.471,1.626,1.912,2.113,1.383,2.269,0.844
968.5,37.18,1.696,2.022,0.12,2.452,1.611,1.781,1.921,2.123,1.498,2.277,0.811
969,37.18,3.083,1.039,0.4,1.99,2.928,3.237,0.987,1.091,1.606,2.284,0.781
969.5,37.21,2.642,1.025,0.4,1.99,2.51,2.774,0.974,1.076,1.464,2.275,0.821
970,37.21,2.229,1.007,0.4,1.99,2.118,2.341,0.957,1.058,1.322,2.264,0.861
970.5,37.26,2.531,1.021,0.4,1.99,2.404,2.657,0.97,1.072,1.427,2.272,0.832
971,37.26,2.605,1.023,0.4,1.99,2.475,2.736,0.972,1.075,1.452,2.274,0.824
971.5,37.29,2.351,1.013,0.4,1.99,2.233,2.468,0.962,1.064,1.365,2.268,0.849
972,37.29,2.654,1.025,0.4,1.99,2.522,2.787,0.974,1.076,1.468,2.275,0.82
972.5,37.33,2.972,1.036,0.4,1.99,2.824,3.121,0.984,1.088,1.571,2.282,0.791
973,37.33,2.714,1.027,0.4,1.99,2.578,2.85,0.976,1.079,1.488,2.276,0.814
973.5,37.37,2.35,1.013,0.4,1.99,2.233,2.468,0.962,1.064,1.365,2.268,0.849
974,37.37,2.29,1.01,0.4,1.99,2.176,2.405,0.96,1.061,1.344,2.266,0.855
974.5,37.42,2.245,1.008,0.4,1.99,2.133,2.358,0.958,1.059,1.328,2.265,0.859
975,37.42,2.201,1.006,0.4,1.99,2.091,2.311,0.956,1.056,1.312,2.264,0.864
975.5,37.46,2.276,1.01,0.4,1.99,2.163,2.39,0.959,1.06,1.339,2.266,0.856
976,37.46,2.468,1.018,0.4,1.99,2.345,2.591,0.967,1.069,1.405,2.271,0.838
976.5,37.49,2.643,1.025,0.4,1.99,2.511,2.775,0.974,1.076,1.464,2.275,0.821
977,37.49,2.54,1.021,0.4,1.99,2.413,2.667,0.97,1.072,1.43,2.273,0.831
977.5,37.54,2.446,1.017,0.4,1.99,2.324,2.569,0.966,1.068,1.398,2.27,0.84
978,37.54,2.36,1.013,0.4,1.99,2.242,2.478,0.963,1.064,1.368,2.268,0.848
978.5,37.58,2.349,1.013,0.4,1.99,2.232,2.467,0.962,1.064,1.365,2.268,0.849
979,37.58,2.644,1.025,0.4,1.99,2.512,2.777,0.974,1.076,1.465,2.275,0.821
979.5,37.62,2.953,1.035,0.4,1.99,2.805,3.101,0.984,1.087,1.565,2.281,0.792
980,37.62,2.912,1.034,0.4,1.99,2.766,3.057,0.982,1.086,1.552,2.28,0.796
980.5,37.66,2.763,1.029,0.4,1.99,2.625,2.901,0.978,1.081,1.504,2.277,0.81
981,37.66,2.618,1.024,0.4,1.99,2.487,2.748,0.973,1.075,1.456,2.274,0.823
981.5,37.71,2.47,1.018,0.4,1.99,2.347,2.594,0.967,1.069,1.406,2.271,0.837
982,37.71,2.352,1.013,0.4,1.99,2.234,2.469,0.962,1.064,1.365,2.268,0.849
982.5,37.76,2.261,1.009,0.4,1.99,2.148,2.374,0.959,1.059,1.333,2.265,0.858
983,37.76,2.17,1.005,0.4,1.99,2.062,2.279,0.954,1.055,1.301,2.263,0.867
983.5,37.8,2.082,1,0.4,1.99,1.978,2.186,0.95,1.05,1.269,2.26,0.876
984,37.8,1.908,0.99,0.4,1.99,1.813,2.003,0.941,1.04,1.204,2.254,0.894
984.5,37.84,1.607,0.969,0.4,1.99,1.527,1.687,0.921,1.018,1.087,2.242,0.928
985,37.84,1.327,0.944,0.4,1.99,1.26,1.393,0.896,0.991,0.968,2.226,0.961
985.5,37.88,1.294,0.94,0.4,1.99,1.23,1.359,0.893,0.987,0.954,2.224,0.965
986,37.88,1.409,0.952,0.4,1.99,1.339,1.48,0.904,1,1.004,2.231,0.951
986.5,37.93,1.543,0.964,0.4,1.99,1.465,1.62,0.916,1.012,1.06,2.238,0.935
987,37.93,1.756,0.98,0.4,1.99,1.668,1.843,0.931,1.029,1.146,2.248,0.911
987.5,37.96,1.979,0.994,0.4,1.99,1.88,2.078,0.945,1.044,1.231,2.257,0.887
988,37.96,1.967,0.994,0.4,1.99,1.869,2.066,0.944,1.043,1.227,2.256,0.888
988.5,38,1.7,0.976,0.4,1.99,1.615,1.785,0.928,1.025,1.124,2.246,0.917
989,38,1.448,0.956,0.4,1.99,1.376,1.521,0.908,1.003,1.021,2.233,0.946
989.5,38.06,1.213,0.931,0.4,1.99,1.152,1.273,0.884,0.977,0.918,2.218,0.975
990,38.06,1.167,0.925,0.4,1.99,1.109,1.226,0.879,0.971,0.897,2.215,0.981
990.5,38.1,1.138,0.921,0.4,1.99,1.081,1.195,0.875,0.967,0.883,2.213,0.985
991,38.1,1.108,0.917,0.4,1.99,1.052,1.163,0.871,0.963,0.869,2.21,0.989
991.5,38.13,1.687,0.913,0.4,1.99,1.602,1.771,0.867,0.959,1.119,2.208,0.993
992,38.13,1.355,0.947,0.4,1.99,1.287,1.422,0.899,0.994,0.981,2.228,0.958
992.5,38.18,1.67,0.974,0.4,1.99,1.586,1.753,0.925,1.023,1.112,2.244,0.921
993,38.18,2.01,0.996,0.4,1.99,1.91,2.111,0.946,1.046,1.243,2.258,0.884
993.5,38.23,2.376,1.014,0.4,1.99,2.257,2.495,0.963,1.065,1.374,2.268,0.847
994,38.23,2.713,1.027,0.4,1.99,2.578,2.849,0.976,1.079,1.488,2.276,0.814
994.5,38.26,3.004,1.037,0.4,1.99,2.854,3.154,0.985,1.089,1.581,2.282,0.788
995,38.26,3.308,1.045,0.4,1.99,3.142,3.473,0.993,1.098,1.675,2.287,0.761
995.5,38.3,3.622,1.053,0.4,1.99,3.441,3.804,1,1.106,1.769,2.292,0.735
996,38.3,3.948,1.06,0.4,1.99,3.75,4.145,1.007,1.113,1.863,2.296,0.708
996.5,38.35,4.2,1.065,0.4,1.99,3.99,4.41,1.011,1.118,1.934,2.299,0.688
997,38.35,4.432,1.069,0.4,1.99,4.21,4.653,1.015,1.122,1.997,2.301,0.67
997.5,38.39,4.372,1.068,0.4,1.99,4.153,4.59,1.014,1.121,1.981,2.301,0.675
998,38.39,3.902,1.059,0.4,1.99,3.707,4.097,1.006,1.112,1.85,2.295,0.712
998.5,38.43,3.454,1.049,0.4,1.99,3.281,3.627,0.997,1.101,1.72,2.289,0.749
999,38.43,3.028,1.038,0.4,1.99,2.876,3.179,0.986,1.089,1.589,2.283,0.786
999.5,38.48,2.954,1.035,0.4,1.99,2.806,3.101,0.984,1.087,1.565,2.281,0.792
1000,38.48,3.676,1.054,0.4,1.99,3.492,3.86,1.001,1.107,1.785,2.292,0.73
1000.5,38.52,4.461,1.069,0.4,1.99,4.238,4.684,1.016,1.122,2.005,2.301,0.668
1001,38.52,5.304,1.081,0.4,1.99,5.039,5.569,1.027,1.135,2.224,2.309,0.606
1001.5,38.56,5.224,1.08,0.4,1.99,4.963,5.485,1.026,1.134,2.204,2.308,0.612
1002,38.56,5.016,1.077,0.4,1.99,4.765,5.267,1.023,1.131,2.151,2.306,0.627
1002.5,38.59,4.92,1.076,0.4,1.99,4.674,5.166,1.022,1.13,2.126,2.306,0.634
1003,38.59,4.903,1.076,0.4,1.99,4.658,5.148,1.022,1.129,2.122,2.305,0.635
1003.5,38.63,4.888,1.075,0.4,1.99,4.643,5.132,1.022,1.129,2.118,2.305,0.636
1004,38.63,4.756,1.074,0.4,1.99,4.519,4.994,1.02,1.127,2.083,2.304,0.646
1004.5,38.66,4.397,1.068,0.4,1.99,4.177,4.617,1.015,1.121,1.987,2.301,0.673
1005,38.66,4.049,1.062,0.4,1.99,3.846,4.251,1.009,1.115,1.891,2.297,0.7
1005.5,38.69,3.712,1.055,0.4,1.99,3.526,3.898,1.002,1.108,1.796,2.293,0.727
1006,38.69,3.659,1.054,0.4,1.99,3.476,3.842,1.001,1.106,1.78,2.292,0.732
1006.5,38.74,3.874,1.058,0.4,1.99,3.681,4.068,1.005,1.111,1.842,2.295,0.714
1007,38.74,4.094,1.063,0.4,1.99,3.889,4.299,1.009,1.116,1.904,2.298,0.697
1007.5,38.79,4.31,1.066,0.4,1.99,4.095,4.526,1.013,1.12,1.964,2.3,0.68
1008,38.79,4.062,1.062,0.4,1.99,3.859,4.265,1.009,1.115,1.895,2.297,0.699
1008.5,38.83,4.051,1.062,0.4,1.99,3.848,4.253,1.009,1.115,1.892,2.297,0.7
1009,38.83,4.49,1.069,0.4,1.99,4.265,4.714,1.016,1.123,2.013,2.302,0.666
1009.5,38.87,4.489,1.069,0.4,1.99,4.265,4.713,1.016,1.123,2.012,2.302,0.666
1010,38.87,4.489,1.069,0.4,1.99,4.265,4.713,1.016,1.123,2.012,2.302,0.666
1010.5,38.9,4.735,1.073,0.4,1.99,4.498,4.972,1.02,1.127,2.078,2.304,0.647
1011,38.9,4.859,1.075,0.4,1.99,4.616,5.102,1.021,1.129,2.11,2.305,0.638
1011.5,38.94,4.771,1.074,0.4,1.99,4.532,5.01,1.02,1.127,2.087,2.304,0.645
1012,38.94,4.683,1.072,0.4,1.99,4.449,4.917,1.019,1.126,2.064,2.303,0.651
1012.5,38.98,4.733,1.073,0.4,1.99,4.497,4.97,1.02,1.127,2.077,2.304,0.648
1013,38.98,4.817,1.074,0.4,1.99,4.577,5.058,1.021,1.128,2.099,2.305,0.641
1013.5,39.02,4.902,1.076,0.4,1.99,4.657,5.147,1.022,1.129,2.122,2.305,0.635
1014,39.02,4.708,1.073,0.4,1.99,4.473,4.944,1.019,1.126,2.071,2.304,0.649
1014.5,39.06,4.422,1.068,0.4,1.99,4.201,4.643,1.015,1.122,1.994,2.301,0.671
1015,39.06,4.142,1.064,0.4,1.99,3.935,4.35,1.01,1.117,1.918,2.298,0.693
1015.5,39.09,4.693,1.073,0.4,1.99,4.458,4.928,1.019,1.126,2.067,2.304,0.651
1016,39.09,3.915,1.059,0.4,1.99,3.719,4.11,1.006,1.112,1.854,2.295,0.711
1016.5,39.12,3.118,1.04,0.4,1.99,2.962,3.273,0.988,1.092,1.617,2.284,0.778
1017,39.12,3.056,1.038,0.4,1.99,2.903,3.209,0.986,1.09,1.598,2.283,0.783
1017.5,39.15,3.458,1.049,0.4,1.99,3.285,3.631,0.997,1.102,1.721,2.289,0.748
1018,39.15,3.88,1.058,0.4,1.99,3.686,4.074,1.006,1.111,1.844,2.295,0.714
1018.5,39.2,4.32,1.067,0.4,1.99,4.104,4.536,1.013,1.12,1.967,2.3,0.679
1019,39.2,4.236,1.065,0.4,1.99,4.024,4.448,1.012,1.118,1.944,2.299,0.685
1019.5,39.24,3.942,1.06,0.4,1.99,3.745,4.139,1.007,1.113,1.862,2.296,0.709
1020,39.24,4.251,1.065,0.4,1.99,4.038,4.463,1.012,1.119,1.948,2.299,0.684
1020.5,39.27,4.57,1.071,0.4,1.99,4.341,4.798,1.017,1.124,2.034,2.302,0.66
1021,39.27,4.896,1.076,0.4,1.99,4.652,5.141,1.022,1.129,2.12,2.305,0.636
1021.5,39.32,5.233,1.08,0.4,1.99,4.972,5.495,1.026,1.134,2.206,2.308,0.611
1022,39.32,5.578,1.084,0.4,1.99,5.299,5.857,1.03,1.138,2.292,2.311,0.587
1022.5,39.35,5.92,1.088,0.4,1.99,5.624,6.216,1.034,1.142,2.376,2.313,0.563
1023,39.35,5.583,1.084,0.4,1.99,5.304,5.862,1.03,1.139,2.294,2.311,0.586
1023.5,39.39,5.254,1.08,0.4,1.99,4.992,5.517,1.026,1.134,2.212,2.308,0.61
1024,39.39,4.934,1.076,0.4,1.99,4.687,5.18,1.022,1.13,2.13,2.306,0.633
1024.5,39.44,4.621,1.072,0.4,1.99,4.39,4.852,1.018,1.125,2.048,2.303,0.656
1025,39.44,4.318,1.067,0.4,1.99,4.102,4.533,1.013,1.12,1.966,2.3,0.679
1025.5,39.47,4.022,1.061,0.4,1.99,3.82,4.223,1.008,1.114,1.884,2.297,0.702
1026,39.47,4.346,1.067,0.4,1.99,4.129,4.564,1.014,1.12,1.974,2.3,0.677
1026.5,39.52,4.791,1.074,0.4,1.99,4.552,5.031,1.02,1.128,2.093,2.304,0.643
1027,39.52,5.209,1.08,0.4,1.99,4.949,5.47,1.026,1.134,2.2,2.308,0.613
1027.5,39.56,5.64,1.085,0.4,1.99,5.358,5.922,1.031,1.139,2.308,2.311,0.583
1028,39.56,6.085,1.09,0.4,1.99,5.781,6.39,1.035,1.144,2.415,2.314,0.552
1028.5,39.6,6.543,1.094,0.4,1.99,6.216,6.87,1.039,1.149,2.523,2.316,0.522
1029,39.6,7.014,1.098,0.4,1.99,6.663,7.364,1.043,1.153,2.63,2.319,0.491
1029.5,39.64,6.929,1.097,0.4,1.99,6.583,7.276,1.042,1.152,2.611,2.318,0.497
1030,39.64,6.345,1.092,0.4,1.99,6.028,6.663,1.038,1.147,2.477,2.315,0.535
1030.5,39.68,5.782,1.087,0.4,1.99,5.493,6.071,1.032,1.141,2.342,2.312,0.573
1031,39.68,5.239,1.08,0.4,1.99,4.977,5.501,1.026,1.134,2.208,2.308,0.611
1031.5,39.73,4.719,1.073,0.4,1.99,4.483,4.955,1.019,1.127,2.074,2.304,0.649
1032,39.73,4.22,1.065,0.4,1.99,4.009,4.431,1.012,1.118,1.939,2.299,0.687
1032.5,39.76,3.919,1.059,0.4,1.99,3.723,4.115,1.006,1.112,1.855,2.296,0.71
1033,39.76,3.928,1.059,0.4,1.99,3.732,4.124,1.006,1.112,1.857,2.296,0.71
1033.5,39.8,3.938,1.06,0.4,1.99,3.741,4.135,1.007,1.113,1.86,2.296,0.709
1034,39.8,4.538,1.07,0.4,1.99,4.311,4.765,1.017,1.124,2.026,2.302,0.662
1034.5,39.85,5.237,1.08,0.4,1.99,4.975,5.499,1.026,1.134,2.207,2.308,0.611
1035,39.85,5.553,1.084,0.4,1.99,5.276,5.831,1.03,1.138,2.286,2.31,0.589
1035.5,39.89,5.277,1.081,0.4,1.99,5.013,5.54,1.027,1.135,2.217,2.308,0.608
1036,39.89,5.006,1.077,0.4,1.99,4.756,5.257,1.023,1.131,2.148,2.306,0.628
1036.5,39.94,4.741,1.073,0.4,1.99,4.504,4.978,1.02,1.127,2.079,2.304,0.647
1037,39.94,4.482,1.069,0.4,1.99,4.258,4.707,1.016,1.123,2.011,2.302,0.666
1037.5,39.98,4.22,1.065,0.4,1.99,4.009,4.431,1.012,1.118,1.939,2.299,0.687
1038,39.98,3.893,1.059,0.4,1.99,3.699,4.088,1.006,1.112,1.848,2.295,0.713
1038.5,40.01,3.626,1.053,0.4,1.99,3.445,3.807,1,1.106,1.77,2.292,0.734
1039,40.01,3.468,1.049,0.4,1.99,3.294,3.641,0.997,1.102,1.724,2.29,0.748
1039.5,40.05,3.313,1.045,0.4,1.99,3.147,3.478,0.993,1.098,1.677,2.287,0.761
1040,40.05,3.16,1.041,0.4,1.99,3.002,3.318,0.989,1.093,1.63,2.285,0.774
1040.5,40.1,3.011,1.037,0.4,1.99,2.86,3.161,0.985,1.089,1.583,2.282,0.787
1041,40.1,4.01,1.061,0.4,1.99,3.809,4.21,1.008,1.114,1.881,2.297,0.703
1041.5,40.14,5.428,1.083,0.4,1.99,5.157,5.7,1.028,1.137,2.255,2.31,0.597
1042,40.14,6.337,1.092,0.4,1.99,6.02,6.654,1.038,1.147,2.475,2.315,0.535
1042.5,40.19,6.162,1.09,0.4,1.99,5.854,6.47,1.036,1.145,2.434,2.314,0.547
1043,40.19,5.99,1.089,0.4,1.99,5.69,6.289,1.034,1.143,2.393,2.313,0.559
1043.5,40.23,5.819,1.087,0.4,1.99,5.528,6.11,1.033,1.141,2.351,2.312,0.57
1044,40.23,5.496,1.083,0.4,1.99,5.221,5.771,1.029,1.137,2.272,2.31,0.593
1044.5,40.27,5.07,1.078,0.4,1.99,4.816,5.323,1.024,1.132,2.165,2.307,0.623
1045,40.27,4.658,1.072,0.4,1.99,4.425,4.891,1.018,1.126,2.058,2.303,0.653
1045.5,40.31,4.261,1.066,0.4,1.99,4.048,4.474,1.012,1.119,1.95,2.299,0.684
1046,40.31,3.878,1.058,0.4,1.99,3.684,4.072,1.005,1.111,1.843,2.295,0.714
1046.5,40.36,3.509,1.05,0.4,1.99,3.333,3.684,0.998,1.103,1.736,2.29,0.744
1047,40.36,3.445,1.049,0.4,1.99,3.273,3.617,0.996,1.101,1.717,2.289,0.75
1047.5,40.4,3.76,1.056,0.4,1.99,3.572,3.948,1.003,1.109,1.809,2.294,0.723
1048,40.4,4.088,1.062,0.4,1.99,3.883,4.292,1.009,1.116,1.902,2.297,0.697
1048.5,40.44,4.426,1.068,0.4,1.99,4.205,4.647,1.015,1.122,1.995,2.301,0.671
1049,40.44,4.774,1.074,0.4,1.99,4.535,5.013,1.02,1.128,2.088,2.304,0.645
1049.5,40.48,5.133,1.079,0.4,1.99,4.877,5.39,1.025,1.133,2.181,2.307,0.618
1050,40.48,5.146,1.079,0.4,1.99,4.889,5.404,1.025,1.133,2.184,2.307,0.617
1050.5,40.53,5.973,1.089,0.4,1.99,5.674,6.271,1.034,1.143,2.388,2.313,0.56
1051,40.53,5.927,1.088,0.4,1.99,5.631,6.224,1.034,1.142,2.378,2.313,0.563
1051.5,40.57,6.052,1.335,0.35,2.073,5.75,6.355,1.268,1.402,2.702,2.32,0.471
1052,40.57,7.005,1.343,0.35,2.073,6.655,7.356,1.276,1.41,2.971,2.325,0.395
1052.5,40.62,7.186,1.344,0.35,2.073,6.827,7.545,1.277,1.411,3.02,2.326,0.381
1053,40.62,7.202,1.344,0.35,2.073,6.842,7.562,1.277,1.411,3.025,2.326,0.38
1053.5,40.66,6.947,1.342,0.35,2.073,6.599,7.294,1.275,1.409,2.955,2.325,0.4
1054,40.66,6.733,1.341,0.35,2.073,6.396,7.069,1.274,1.408,2.895,2.324,0.416
1054.5,40.71,7.327,1.345,0.35,2.073,6.96,7.693,1.278,1.412,3.059,2.327,0.37
1055,40.71,7.938,1.349,0.35,2.073,7.541,8.335,1.281,1.416,3.222,2.329,0.324
1055.5,40.75,7.648,1.347,0.35,2.073,7.266,8.031,1.28,1.414,3.145,2.328,0.346
1056,40.75,7.22,1.344,0.35,2.073,6.859,7.581,1.277,1.411,3.03,2.326,0.378
1056.5,40.79,6.773,1.341,0.35,2.073,6.434,7.112,1.274,1.408,2.906,2.324,0.413
1057,40.79,6.709,1.341,0.35,2.073,6.374,7.045,1.274,1.408,2.889,2.324,0.418
1057.5,40.83,6.966,1.342,0.35,2.073,6.618,7.314,1.275,1.41,2.96,2.325,0.398
1058,40.83,6.724,1.341,0.35,2.073,6.388,7.06,1.274,1.408,2.893,2.324,0.417
1058.5,40.87,6.778,1.341,0.35,2.073,6.439,7.117,1.274,1.408,2.908,2.324,0.413
1059,40.87,6.83,1.341,0.35,2.073,6.489,7.172,1.274,1.409,2.922,2.324,0.409
1059.5,40.91,6.494,1.339,0.35,2.073,6.169,6.818,1.272,1.406,2.828,2.323,0.435
1060,40.91,6.574,1.339,0.35,2.073,6.245,6.902,1.273,1.406,2.851,2.323,0.429
1060.5,40.94,7.032,1.343,0.35,2.073,6.681,7.384,1.276,1.41,2.978,2.325,0.393
1061,40.94,7.607,1.347,0.35,2.073,7.227,7.988,1.279,1.414,3.135,2.328,0.349
1061.5,40.98,7.413,1.346,0.35,2.073,7.042,7.784,1.278,1.413,3.082,2.327,0.364
1062,40.98,6.602,1.34,0.35,2.073,6.272,6.933,1.273,1.407,2.859,2.323,0.427
1062.5,41.02,6.255,1.337,0.35,2.073,5.942,6.567,1.27,1.404,2.76,2.321,0.455
1063,41.02,6.686,1.34,0.35,2.073,6.351,7.02,1.273,1.407,2.882,2.324,0.42
