%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
110,10.8,3.834,2.237,0.05,2.568,3.259,4.409,1.902,2.573,3.496,2.333,-0.021
110.5,10.83,3.909,2.238,0.05,2.568,3.323,4.495,1.902,2.574,3.561,2.334,-0.053
111,10.83,3.984,2.239,0.05,2.568,3.386,4.582,1.903,2.575,3.625,2.334,-0.086
111.5,10.85,4.035,2.239,0.05,2.568,3.43,4.641,1.903,2.575,3.67,2.335,-0.108
112,10.85,4.003,2.239,0.05,2.568,3.403,4.604,1.903,2.575,3.642,2.335,-0.094
112.5,10.87,3.971,2.239,0.05,2.568,3.375,4.567,1.903,2.574,3.614,2.334,-0.08
113,10.87,4.039,2.239,0.05,2.568,3.433,4.645,1.903,2.575,3.673,2.335,-0.11
113.5,10.89,4.067,2.24,0.05,2.568,3.457,4.677,1.904,2.576,3.697,2.335,-0.122
114,10.89,4.049,2.239,0.05,2.568,3.442,4.657,1.904,2.575,3.682,2.335,-0.114
114.5,10.91,4.032,2.239,0.05,2.568,3.427,4.637,1.903,2.575,3.667,2.335,-0.107
115,10.91,4.015,2.239,0.05,2.568,3.412,4.617,1.903,2.575,3.652,2.335,-0.099
115.5,10.93,4.004,2.239,0.05,2.568,3.404,4.605,1.903,2.575,3.643,2.335,-0.095
116,10.93,4.01,2.239,0.05,2.568,3.408,4.611,1.903,2.575,3.648,2.335,-0.097
116.5,10.96,4.016,2.239,0.05,2.568,3.413,4.618,1.903,2.575,3.653,2.335,-0.099
117,10.96,4.021,2.239,0.05,2.568,3.418,4.625,1.903,2.575,3.658,2.335,-0.102
117.5,10.97,4.027,2.239,0.05,2.568,3.423,4.631,1.903,2.575,3.663,2.335,-0.104
118,10.97,4.033,2.239,0.05,2.568,3.428,4.638,1.903,2.575,3.668,2.335,-0.107
118.5,10.98,4.006,2.239,0.05,2.568,3.405,4.607,1.903,2.575,3.644,2.335,-0.095
119,10.98,3.977,2.239,0.05,2.568,3.381,4.574,1.903,2.575,3.62,2.334,-0.083
119.5,11,3.948,2.238,0.05,2.568,3.356,4.541,1.903,2.574,3.595,2.334,-0.07
120,11,3.92,2.238,0.05,2.568,3.332,4.508,1.902,2.574,3.57,2.334,-0.058
120.5,11.02,3.891,2.238,0.05,2.568,3.307,4.475,1.902,2.573,3.545,2.333,-0.045
121,11.02,3.862,2.237,0.05,2.568,3.283,4.442,1.902,2.573,3.52,2.333,-0.033
121.5,11.03,3.849,2.237,0.05,2.568,3.272,4.426,1.902,2.573,3.509,2.333,-0.027
122,11.03,3.867,2.238,0.05,2.568,3.287,4.447,1.902,2.573,3.524,2.333,-0.035
122.5,11.04,3.884,2.238,0.05,2.568,3.302,4.467,1.902,2.573,3.539,2.333,-0.042
123,11.04,3.902,2.238,0.05,2.568,3.317,4.487,1.902,2.574,3.554,2.334,-0.05
123.5,11.07,3.92,2.238,0.05,2.568,3.332,4.508,1.902,2.574,3.57,2.334,-0.058
124,11.07,3.937,2.238,0.05,2.568,3.347,4.528,1.903,2.574,3.585,2.334,-0.065
124.5,11.1,3.955,2.238,0.05,2.568,3.362,4.548,1.903,2.574,3.6,2.334,-0.073
125,11.1,3.934,2.238,0.05,2.568,3.344,4.524,1.903,2.574,3.582,2.334,-0.064
125.5,11.14,3.886,2.238,0.05,2.568,3.303,4.468,1.902,2.573,3.54,2.333,-0.043
